QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,,,,,CITY,,,COUNTRY,,,,DEALSIZE
30,95.7,2,2871,2/24/2003 0:00,Shipped,1,2,2003,Motorcycles,95,S10_1678,,,,,NYC,,,USA,,,,Small
34,81.35,5,2765.9,05-07-2003 00:00,Shipped,2,5,2003,Motorcycles,95,S10_1678,,,,,Reims,,,France,,,,Small
41,94.74,2,3884.34,07-01-2003 00:00,Shipped,3,7,2003,Motorcycles,95,S10_1678,,,,,Paris,,,France,,,,Medium
45,83.26,6,3746.7,8/25/2003 0:00,Shipped,3,8,2003,Motorcycles,95,S10_1678,,,,,Pasadena,,,USA,,,,Medium
49,100,14,5205.27,10-10-2003 00:00,Shipped,4,10,2003,Motorcycles,95,S10_1678,,,,,San Francisco,,,USA,,,,Medium
36,96.66,1,3479.76,10/28/2003 0:00,Shipped,4,10,2003,Motorcycles,95,S10_1678,,,,,Burlingame,,,USA,,,,Medium
29,86.13,9,2497.77,11-11-2003 00:00,Shipped,4,11,2003,Motorcycles,95,S10_1678,,,,,Lille,,,France,,,,Small
48,100,1,5512.32,11/18/2003 0:00,Shipped,4,11,2003,Motorcycles,95,S10_1678,,,,,Bergen,,,Norway,,,,Medium
22,98.57,2,2168.54,12-01-2003 00:00,Shipped,4,12,2003,Motorcycles,95,S10_1678,,,,,San Francisco,,,USA,,,,Small
41,100,14,4708.44,1/15/2004 0:00,Shipped,1,1,2004,Motorcycles,95,S10_1678,,,,,Paris,,,France,,,,Medium
37,100,1,3965.66,2/20/2004 0:00,Shipped,1,2,2004,Motorcycles,95,S10_1678,,,,,Melbourne,,,Australia,,,,Medium
23,100,7,2333.12,04-05-2004 00:00,Shipped,2,4,2004,Motorcycles,95,S10_1678,,,,,NYC,,,USA,,,,Small
28,100,2,3188.64,5/18/2004 0:00,Shipped,2,5,2004,Motorcycles,95,S10_1678,,,,,Newark,,,USA,,,,Medium
34,100,2,3676.76,6/28/2004 0:00,Shipped,2,6,2004,Motorcycles,95,S10_1678,,,,,Bridgewater,,,USA,,,,Medium
45,92.83,1,4177.35,7/23/2004 0:00,Shipped,3,7,2004,Motorcycles,95,S10_1678,,,,,Nantes,,,France,,,,Medium
36,100,6,4099.68,8/27/2004 0:00,Shipped,3,8,2004,Motorcycles,95,S10_1678,,,,,Cambridge,,,USA,,,,Medium
23,100,9,2597.39,9/30/2004 0:00,Shipped,3,9,2004,Motorcycles,95,S10_1678,,,,,Helsinki,,,Finland,,,,Small
41,100,5,4394.38,10/15/2004 0:00,Shipped,4,10,2004,Motorcycles,95,S10_1678,,,,,Stavern,,,Norway,,,,Medium
46,94.74,1,4358.04,11-02-2004 00:00,Shipped,4,11,2004,Motorcycles,95,S10_1678,,,,,Allentown,,,USA,,,,Medium
42,100,1,4396.14,11/15/2004 0:00,Shipped,4,11,2004,Motorcycles,95,S10_1678,,,,,NYC,,,USA,,,,Medium
41,100,9,7737.93,11/24/2004 0:00,Shipped,4,11,2004,Motorcycles,95,S10_1678,,,,,Salzburg,,,Austria,,,,Large
20,72.55,13,1451,12/17/2004 0:00,Shipped,4,12,2004,Motorcycles,95,S10_1678,,,,,Chatswood,,,Australia,,,,Small
21,34.91,12,733.11,02-03-2005 00:00,Shipped,1,2,2005,Motorcycles,95,S10_1678,,,,,Nantes,,,France,,,,Small
42,76.36,4,3207.12,03-03-2005 00:00,Shipped,1,3,2005,Motorcycles,95,S10_1678,,,,,New Bedford,,,USA,,,,Medium
24,100,7,2434.56,04-08-2005 00:00,Shipped,2,4,2005,Motorcycles,95,S10_1678,,,,,Liverpool,,,UK,,,,Small
66,100,2,7516.08,5/13/2005 0:00,Disputed,2,5,2005,Motorcycles,95,S10_1678,,,,,Madrid,,,Spain,,,,Large
26,100,11,5404.62,1/29/2003 0:00,Shipped,1,1,2003,Classic Cars,214,S10_1949,,,,,Stavern,,,Norway,,,,Medium
29,100,1,7209.11,3/24/2003 0:00,Shipped,1,3,2003,Classic Cars,214,S10_1949,,,,,Lule,,,Sweden,,,,Large
38,100,11,7329.06,5/28/2003 0:00,Shipped,2,5,2003,Classic Cars,214,S10_1949,,,,,Madrid,,,Spain,,,,Large
37,100,11,7374.1,7/24/2003 0:00,Shipped,3,7,2003,Classic Cars,214,S10_1949,,,,,Burlingame,,,USA,,,,Large
45,100,8,10993.5,9/19/2003 0:00,Shipped,3,9,2003,Classic Cars,214,S10_1949,,,,,Singapore,,,Singapore,,,,Large
21,100,1,4860.24,10/20/2003 0:00,Shipped,4,10,2003,Classic Cars,214,S10_1949,,,,,NYC,,,USA,,,,Medium
34,100,4,8014.82,11-06-2003 00:00,Shipped,4,11,2003,Classic Cars,214,S10_1949,,,,,South Brisbane,,,Australia,,,,Large
23,100,8,5372.57,11/13/2003 0:00,Shipped,4,11,2003,Classic Cars,214,S10_1949,,,,,Philadelphia,,,USA,,,,Medium
42,100,11,7290.36,11/25/2003 0:00,Shipped,4,11,2003,Classic Cars,214,S10_1949,,,,,Lyon,,,France,,,,Large
